"network,geoname_id,continent_code,continent_name,country_iso_code,country_name,is_anonymous_proxy,is_satellite_provider"
"4.69.133.180/31,6252001,NA,North America,US,United States,False,False"
"4.69.133.183/32,6252001,NA,North America,US,United States,False,False"
"4.69.133.184/29,6252001,NA,North America,US,United States,False,False"
"4.69.133.192/26,6252001,NA,North America,US,United States,False,False"
"4.69.134.0/23,6252001,NA,North America,US,United States,False,False"
"4.69.136.0/23,6252001,NA,North America,US,United States,False,False"
"4.69.138.0/24,6252001,NA,North America,US,United States,False,False"
"4.69.139.0/27,6252001,NA,North America,US,United States,False,False"
"4.69.139.32/32,6252001,NA,North America,US,United States,False,False"
"4.69.139.34/31,6252001,NA,North America,US,United States,False,False"
"4.69.139.36/30,6252001,NA,North America,US,United States,False,False"
"4.69.139.40/29,6252001,NA,North America,US,United States,False,False"
"4.69.139.48/28,6252001,NA,North America,US,United States,False,False"
"4.69.139.64/27,6252001,NA,North America,US,United States,False,False"
"4.69.139.96/31,6252001,NA,North America,US,United States,False,False"
"4.69.139.99/32,6252001,NA,North America,US,United States,False,False"
"4.69.139.100/30,6252001,NA,North America,US,United States,False,False"
"4.69.139.104/29,6252001,NA,North America,US,United States,False,False"
"4.69.139.112/28,6252001,NA,North America,US,United States,False,False"
"4.69.139.128/25,6252001,NA,North America,US,United States,False,False"
"4.69.140.0/28,6252001,NA,North America,US,United States,False,False"
"4.69.140.16/29,6252001,NA,North America,US,United States,False,False"
"4.69.140.32/27,6252001,NA,North America,US,United States,False,False"
"4.69.140.64/26,6252001,NA,North America,US,United States,False,False"
"4.69.140.128/25,6252001,NA,North America,US,United States,False,False"
"4.69.141.0/25,6252001,NA,North America,US,United States,False,False"
"4.69.141.128/28,6252001,NA,North America,US,United States,False,False"
"4.69.141.144/30,6252001,NA,North America,US,United States,False,False"
"4.69.141.148/32,6252001,NA,North America,US,United States,False,False"
"4.69.141.150/31,6252001,NA,North America,US,United States,False,False"
"4.69.141.152/29,6252001,NA,North America,US,United States,False,False"
"4.69.141.160/29,6252001,NA,North America,US,United States,False,False"
"4.69.141.168/31,6252001,NA,North America,US,United States,False,False"
"4.69.141.171/32,6252001,NA,North America,US,United States,False,False"
"4.69.141.172/30,6252001,NA,North America,US,United States,False,False"
"4.69.141.176/28,6252001,NA,North America,US,United States,False,False"
"4.69.141.192/26,6252001,NA,North America,US,United States,False,False"
"4.69.142.0/24,6252001,NA,North America,US,United States,False,False"
"4.69.143.0/26,6252001,NA,North America,US,United States,False,False"
"4.69.143.64/29,6252001,NA,North America,US,United States,False,False"
"4.69.143.72/31,6252001,NA,North America,US,United States,False,False"
"4.69.143.75/32,6252001,NA,North America,US,United States,False,False"
"4.69.143.76/30,6252001,NA,North America,US,United States,False,False"
"4.69.143.80/28,6252001,NA,North America,US,United States,False,False"
"4.69.143.96/27,6252001,NA,North America,US,United States,False,False"
"4.69.143.128/27,6252001,NA,North America,US,United States,False,False"
"4.69.143.160/29,6252001,NA,North America,US,United States,False,False"
"4.69.143.168/31,6252001,NA,North America,US,United States,False,False"
"4.69.143.171/32,6252001,NA,North America,US,United States,False,False"
"4.69.143.172/30,6252001,NA,North America,US,United States,False,False"
"4.69.143.176/31,6252001,NA,North America,US,United States,False,False"
"4.69.143.179/32,6252001,NA,North America,US,United States,False,False"
"4.69.143.180/30,6252001,NA,North America,US,United States,False,False"
"4.69.143.184/29,6252001,NA,North America,US,United States,False,False"
"4.69.143.192/29,6252001,NA,North America,US,United States,False,False"
"4.69.143.200/32,6252001,NA,North America,US,United States,False,False"
"4.69.143.202/31,6252001,NA,North America,US,United States,False,False"
"4.69.143.204/30,6252001,NA,North America,US,United States,False,False"
"4.69.143.208/28,6252001,NA,North America,US,United States,False,False"
"4.69.143.224/27,6252001,NA,North America,US,United States,False,False"
"4.69.144.0/21,6252001,NA,North America,US,United States,False,False"
"4.69.152.0/24,6252001,NA,North America,US,United States,False,False"
"4.69.153.0/25,6252001,NA,North America,US,United States,False,False"
"4.69.153.128/26,6252001,NA,North America,US,United States,False,False"
"4.69.153.192/32,6252001,NA,North America,US,United States,False,False"
"4.69.153.194/31,6252001,NA,North America,US,United States,False,False"
"4.69.153.196/30,6252001,NA,North America,US,United States,False,False"
"4.69.153.200/29,6252001,NA,North America,US,United States,False,False"
"4.69.153.208/28,6252001,NA,North America,US,United States,False,False"
"4.69.153.224/27,6252001,NA,North America,US,United States,False,False"
"4.69.154.0/23,6252001,NA,North America,US,United States,False,False"
"4.69.156.0/22,6252001,NA,North America,US,United States,False,False"
"4.69.160.0/19,6252001,NA,North America,US,United States,False,False"
"4.69.192.0/18,6252001,NA,North America,US,United States,False,False"
"4.70.0.0/15,6252001,NA,North America,US,United States,False,False"
"4.72.0.0/13,6252001,NA,North America,US,United States,False,False"
"4.80.0.0/12,6252001,NA,North America,US,United States,False,False"
"4.96.0.0/11,6252001,NA,North America,US,United States,False,False"
"4.128.0.0/9,6252001,NA,North America,US,United States,False,False"
"5.34.246.0/23,6252001,NA,North America,US,United States,False,False"
"5.44.104.0/22,6252001,NA,North America,US,United States,False,False"
"5.56.133.0/24,6252001,NA,North America,US,United States,False,False"
"5.61.26.0/23,6252001,NA,North America,US,United States,False,False"
"5.61.29.0/24,6252001,NA,North America,US,United States,False,False"
"5.61.30.0/23,6252001,NA,North America,US,United States,False,False"
"5.63.128.0/22,6252001,NA,North America,US,United States,False,False"
"5.104.244.0/23,6252001,NA,North America,US,United States,False,False"
"5.133.204.0/27,6252001,NA,North America,US,United States,False,False"
"5.133.205.0/27,6252001,NA,North America,US,United States,False,False"
"5.133.206.0/27,6252001,NA,North America,US,United States,False,False"
"5.133.207.0/27,6252001,NA,North America,US,United States,False,False"
"5.133.208.0/27,6252001,NA,North America,US,United States,False,False"
"5.133.209.0/27,6252001,NA,North America,US,United States,False,False"
"5.133.210.0/27,6252001,NA,North America,US,United States,False,False"
"5.133.211.0/27,6252001,NA,North America,US,United States,False,False"
"5.133.212.0/27,6252001,NA,North America,US,United States,False,False"
"5.133.213.0/27,6252001,NA,North America,US,United States,False,False"
"5.133.214.0/27,6252001,NA,North America,US,United States,False,False"
"5.133.215.0/27,6252001,NA,North America,US,United States,False,False"
"5.133.216.0/27,6252001,NA,North America,US,United States,False,False"
"5.133.217.0/27,6252001,NA,North America,US,United States,False,False"
"5.133.218.0/27,6252001,NA,North America,US,United States,False,False"
"5.133.219.0/27,6252001,NA,North America,US,United States,False,False"
"5.133.220.0/27,6252001,NA,North America,US,United States,False,False"
"5.133.221.0/27,6252001,NA,North America,US,United States,False,False"
"5.133.222.0/27,6252001,NA,North America,US,United States,False,False"
"5.133.223.0/28,6252001,NA,North America,US,United States,False,False"
"5.152.179.0/24,6252001,NA,North America,US,United States,False,False"
"5.152.181.0/24,6252001,NA,North America,US,United States,False,False"
"5.152.182.0/24,6252001,NA,North America,US,United States,False,False"
"5.152.184.0/21,6252001,NA,North America,US,United States,False,False"
"5.175.137.0/24,6252001,NA,North America,US,United States,False,False"
"5.175.175.16/28,6252001,NA,North America,US,United States,False,False"
"5.175.175.32/27,6252001,NA,North America,US,United States,False,False"
"5.175.175.64/26,6252001,NA,North America,US,United States,False,False"
"5.175.177.16/28,6252001,NA,North America,US,United States,False,False"
"5.175.177.32/27,6252001,NA,North America,US,United States,False,False"
"5.175.177.64/26,6252001,NA,North America,US,United States,False,False"
"5.175.179.16/28,6252001,NA,North America,US,United States,False,False"
"5.175.179.32/27,6252001,NA,North America,US,United States,False,False"
"5.175.179.64/26,6252001,NA,North America,US,United States,False,False"
